created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Feb 04 15:07:47 +0000 2024;1754159822591951323;"ugm_fess pemilu Tsubasa-Misaki be like https://t.co/5u5vpTfjFU";0;0;0;4;in;1277749122296983552;1754159822591951323;UGM_FESS;https://twitter.com/UGM_FESS/status/1754159822591951323
Sun Feb 04 15:07:39 +0000 2024;1754159789935063191;"@Arie_Kriting dari semua twit kok cenderung subjektif menyudutkan 02 ya mas arie yg bijaksana. coba dong mas arie ciptain pemilu yg damai gausa saling serang mecah belah gini wkwkwk";0;0;0;0;in;1262406631813308416;1754159017503736148;maderfucker9;https://twitter.com/maderfucker9/status/1754159789935063191
Sun Feb 04 15:07:36 +0000 2024;1754159776651735504;"@emerson_yuntho @prabowo Hahaha kan ada pemilu lagi, takut amat pak. Ada kontestasi lagi, seleksi lagi, kampanye lagi. Santai.";0;0;0;0;in;1674063345769480193;1754057541167034775;iamcicol;https://twitter.com/iamcicol/status/1754159776651735504
Sun Feb 04 15:07:35 +0000 2024;1754159775141744831;"@idextratime Ini pemilu kapan berakhirnya ti bangsat, gw pengen tl gw quotes galau muncul lagi";0;0;0;0;in;1132665406617899008;1754155782902612432;mzdharday;https://twitter.com/mzdharday/status/1754159775141744831
Sun Feb 04 15:07:35 +0000 2024;1754159774126448851;"Ketiga calon presiden dalam Pemilu 2024 memamerkan strategi untuk meningkatkan kualitas hidup masyarakat Indonesia. #Polhuk #AdadiKompas   https://t.co/Qbn8KxIAxH";0;0;1;1;in;255866913;1754159774126448851;hariankompas;https://twitter.com/hariankompas/status/1754159774126448851
Sun Feb 04 15:07:33 +0000 2024;1754159764186280257;"@indahhh21_ @UGM_FESS Kan itu sengaja biar pelanggaran yg bukan berkaitan dengan pemilu ngga kelihatan😌";0;0;0;0;in;1458132340480229380;1753980003971416423;evanptra;https://twitter.com/evanptra/status/1754159764186280257
Sun Feb 04 15:07:29 +0000 2024;1754159747681694076;"Oke besok ajukan cuti 12 13 biar bablas sampe pemilu ditanjung dan milih 🤣";0;1;0;0;in;284893296;1754159747681694076;ari_tantowi;https://twitter.com/ari_tantowi/status/1754159747681694076
Sun Feb 04 15:07:22 +0000 2024;1754159718074130528;"sejak pemilu capres di jaman medsos ya, aku biasanya ngehindarin milih capres yang buzzernya bukan sibuk bagus-bagusin capresnya sendiri tapi malah sibuk bikin berita hoax capres lain sih";0;1;0;1;in;596564634;1754159718074130528;chldksru;https://twitter.com/chldksru/status/1754159718074130528
Sun Feb 04 15:07:22 +0000 2024;1754159717939900923;"Saya juga meminta maaf kepada Pak Anies dan Cak Imin, kepada Pak Ganjar dan Pak Mahfud, beserta para pendukung dari 01 dan 03, juga kepada berbagai pihak yang telah sedih dan atau marah oleh setiap postingan dan statement saya di musim pemilu 2024 ini.  Apa pun hasil dari pilpres…";3;8;13;34;in;54741308;1754159717939900923;zarryhendrik;https://twitter.com/zarryhendrik/status/1754159717939900923
Sun Feb 04 15:07:10 +0000 2024;1754159667872416062;"Mmf gue sepertinya harus golput karena sampe skrg gue gak dapet email konfirmasi verifikasi data dari PPLN Osaka, dan gue nanya ke tmn gue yg tinggal di jepang juga ga semua WNI di jepang dapet surat undangan pemilu😭💔";0;0;0;2;in;1323974725375197184;1754159667872416062;cxlxrx31;https://twitter.com/cxlxrx31/status/1754159667872416062
Sun Feb 04 15:07:07 +0000 2024;1754159654941434033;"aku baru tau kalo pemilu 2 putaran tuh jedanya berbulan bulan, kirain cuma seminggu kayak jeda utbk gel 1 sama gel 2";0;0;0;0;in;1547562158921498624;1754159654941434033;bizz4are;https://twitter.com/bizz4are/status/1754159654941434033
Sun Feb 04 15:07:02 +0000 2024;1754159634146058655;"Lah ya kalo putra putri terbaik Indonesia "banyak main" ya musuh kita lah. Masa iya negarawan "banyak main" menjelang pemilu?";0;0;0;0;in;433284034;1754159634146058655;sitorus_wahyu;https://twitter.com/sitorus_wahyu/status/1754159634146058655
Sun Feb 04 15:06:59 +0000 2024;1754159624612360281;"@undipmenfess gabisa kl mahasiswa, kalo kerja sakit dll masih bisa sampe 7 feb. kalo kamu mahasiswa rantau jangan balik temcy dulu ajaa, minggu pemilu juga kulon kok 12-16 feb";0;0;0;0;in;4186474366;1754159179059904787;dinokologi;https://twitter.com/dinokologi/status/1754159624612360281
Sun Feb 04 15:06:50 +0000 2024;1754159584418181271;"@reka_tika @kikysaputrii Mending 2 putaran, jd kami kelas pekerja liburnya 2x karena harus nyoblos pemilu 2x 😅";0;0;0;0;in;254327746;1753681843663380513;pras_hartanto;https://twitter.com/pras_hartanto/status/1754159584418181271
Sun Feb 04 15:06:45 +0000 2024;1754159562662486362;"Lebaran apa minta maaf? Oh, atau untuk semua pelanggaran pemilu yang udah dilakukan dan akan dilakukan nanti???";0;0;0;0;in;1564792866;1754159562662486362;gokchongma;https://twitter.com/gokchongma/status/1754159562662486362
Sun Feb 04 15:06:44 +0000 2024;1754159561806877175;"ga kerasa 10 hari lagi pemilu DAAAAAN 7 hari lagi ayang aku ultah?!!!!!!!????!!!!! bersyukur dpt tanggal sidang thesis sebelum dino ulang tahuuun jd bisa tenang 😭";0;4;0;0;in;1392024025040244743;1754159561806877175;dinologist;https://twitter.com/dinologist/status/1754159561806877175
Sun Feb 04 15:06:40 +0000 2024;1754159545411379384;"pemilu bisa cepetan kelar ga seh, BUTUH TIMELINE CLEANSING ANJERR";0;1;0;0;in;788022324997959680;1754159545411379384;h0w0odan;https://twitter.com/h0w0odan/status/1754159545411379384
Sun Feb 04 15:06:39 +0000 2024;1754159540772508143;"Well done &amp  well said abah anies, pak ganjar. Semoga yang terbaik yang memenangkan pemilu 2024 nanti🙏🏻   #debatcapres2024";0;0;0;0;in;1081558731916115969;1754159540772508143;bubblebloob;https://twitter.com/bubblebloob/status/1754159540772508143
Sun Feb 04 15:06:38 +0000 2024;1754159536141971690;"mengingat debat capres sudah selesai, tolong jangan golput ya temen-temen, karna kita yang bakal merasakan dampaknya selama beberapa tahun kedepan. kalau masih bingung mau pilih siapa bisa research dulu sebelum pemilu. 😁🙏🏻";0;0;1;5;in;404665662;1754159536141971690;jirozip;https://twitter.com/jirozip/status/1754159536141971690
Sun Feb 04 15:06:33 +0000 2024;1754159514365083955;"@bitylusional bilang aja nanti pengumuman pemenangnya habis pemilu😭";0;0;0;0;in;3321165457;1754155145959702619;faithdkym;https://twitter.com/faithdkym/status/1754159514365083955
Sun Feb 04 15:06:26 +0000 2024;1754159485093048807;"jadi tambah yakin pemilu nanti mau pilih rezasnegara";0;0;0;0;in;1391620943177416705;1754159485093048807;KEBUNMEMORl;https://twitter.com/KEBUNMEMORl/status/1754159485093048807
Sun Feb 04 15:06:24 +0000 2024;1754159477203611924;"pemilu! kurang lebih seperti berikut ... https://t.co/FOJhGmLLc5";0;0;2;14;in;1277749122296983552;1754159477203611924;UGM_FESS;https://twitter.com/UGM_FESS/status/1754159477203611924
Sun Feb 04 15:06:18 +0000 2024;1754159451274387687;"eh kl pemilu tuh kantor kantor pada cuti gak sih alias libur";0;0;0;0;in;1267694159197958144;1754159451274387687;scoopsahoii;https://twitter.com/scoopsahoii/status/1754159451274387687
Sun Feb 04 15:06:17 +0000 2024;1754159445918285891;"dan poin penting yg disampaikan tadi juga, harus menjaga kerukunan dalam proses pemilu 2024, berbeda plihan itu biasa..jngan karna berbeda pilihan jadi bermusuhan.";0;0;0;0;in;867756870022254592;1754159144926580916;gabepardosi_;https://twitter.com/gabepardosi_/status/1754159445918285891
Sun Feb 04 15:06:11 +0000 2024;1754159422866325954;"terima kasiiihh temen temen semua yg selalu update &amp  melek ttg pemilu 2024";0;0;0;0;in;1519585966436270080;1754159414314226142;mimiyzip;https://twitter.com/mimiyzip/status/1754159422866325954
Sun Feb 04 15:06:09 +0000 2024;1754159414314226142;"sumpah aku seneng bgt punya twitter dan mutualan dgn tmn tmn semuanya karena aku bisa bebas ngomongin pemilu DAN ada temen buat bahas iniii";1;1;0;1;in;1519585966436270080;1754159414314226142;mimiyzip;https://twitter.com/mimiyzip/status/1754159414314226142
Sun Feb 04 15:06:07 +0000 2024;1754159403299996126;"Berdoa bgt pendukung pak prabiwi sebenarnya milih anies di hari pemilu karna gengsi aja kalo skrg hijrah…";0;0;0;1;in;461968928;1754159403299996126;zandrazo;https://twitter.com/zandrazo/status/1754159403299996126
Sun Feb 04 15:06:06 +0000 2024;1754159399231516821;"@partaimedsos45 gasuka pamer, asli kalo ga pemilu gw gatau kalo pencapaian dia yg bermanfaat banyak bangett wkwk";0;0;0;0;in;1419304446362742787;1754135368746885376;alstudie_s;https://twitter.com/alstudie_s/status/1754159399231516821
Sun Feb 04 15:05:56 +0000 2024;1754159358760583189;"@sonneeaa @itsindahg dah males buka tu app kak, mungkin h+3 habis pemilu baru buka lg";0;0;0;4;in;1394048328;1754148101227794767;endmytears;https://twitter.com/endmytears/status/1754159358760583189
Sun Feb 04 15:05:52 +0000 2024;1754159340775489713;"@amaryeager Pengalihan dari hiruk pikuk pemilu 😆";0;0;0;0;in;46375800;1754154947414004066;mayarararocks;https://twitter.com/mayarararocks/status/1754159340775489713
Sun Feb 04 15:05:47 +0000 2024;1754159319455862818;"@laloyyy_ BIL GEMBOK AJA AKUN LU SAMPE PEMILU SLESAI KT GUE😭😭";0;1;0;0;in;1642210284726288384;1754153444548731207;bloomingroseas;https://twitter.com/bloomingroseas/status/1754159319455862818
Sun Feb 04 15:05:45 +0000 2024;1754159311507636434;"Ini pertama kali aku ikut pemilu dan ngerasa risih banget sama perdebatan karena perbedaan pilihan paslon, memang gk salah, karena sebagai salah satu cara kita mendukung, capek ama cacian nya aja, bikin mumet, tp untungnya aku jadi belajar banyak hal tentang dunia politik";0;1;0;1;in;1460948186776760323;1754159311507636434;biqkhm;https://twitter.com/biqkhm/status/1754159311507636434
Sun Feb 04 15:05:41 +0000 2024;1754159296819142987;"@taerakids kalau temenku karena tergila gila sama jokowi, jadi  gabisa berpikiran jernih lagi buat pemilu sekarang😞";0;1;0;0;in;1541254779388645377;1754151095893713191;rneuvilette;https://twitter.com/rneuvilette/status/1754159296819142987
Sun Feb 04 15:05:37 +0000 2024;1754159280222241020;"Misal pemilu hanya 1 putaran, anggaran untuk putaran ke-2 larinya kemana?";0;0;0;0;in;546675906;1754159280222241020;KholidMohamad;https://twitter.com/KholidMohamad/status/1754159280222241020
Sun Feb 04 15:05:31 +0000 2024;1754159254427308275;"@OmInur @PNS_Ababil Coba pemilu tiap tahun, biar diiringi kenaikan gaji";0;0;0;0;in;1026127721942794241;1753998017806606801;Diah2021;https://twitter.com/Diah2021/status/1754159254427308275
Sun Feb 04 15:05:31 +0000 2024;1754159254297325690;"@ilokius maen aman udh mo pemilu kekny";0;0;0;0;in;1317855724630806530;1754158491873513757;brokenclockzs;https://twitter.com/brokenclockzs/status/1754159254297325690
Sun Feb 04 15:05:26 +0000 2024;1754159233934008488;"@keonhie Mending lebarannya besok April abis kalah pemilu. ❤";0;1;0;0;in;872914390739066880;1754156011869684012;ivenoire;https://twitter.com/ivenoire/status/1754159233934008488
Sun Feb 04 15:05:22 +0000 2024;1754159216213045477;""pemilu bersifat rahasia"  Minke silas: "anies apa ganjar nih?"";0;1;0;0;in;1530854996807680001;1754159216213045477;aurewus;https://twitter.com/aurewus/status/1754159216213045477
Sun Feb 04 15:05:21 +0000 2024;1754159211653787795;"Ada yg nebak pemenang Pilpres pake tarot, aneh banget, saya juga mau nebak dengan cara yg aneh yaitu dari (maaf bukan menghina) tinggi badan.  Yang sudah-sudah kalau lewat pemilu, Wapresnya (maaf sekali lagi bukan menghina) tingginya tidak lebih dari Presiden.   Gas Oki - Ical!";0;0;2;7;in;258874416;1754105539896959049;adjisdoaibu;https://twitter.com/adjisdoaibu/status/1754159211653787795
Sun Feb 04 15:05:11 +0000 2024;1754159169358446976;"Emang paling bener ga ikut pemilu aja😶";0;0;0;0;in;1408631590905815042;1754159169358446976;onlyoongi10;https://twitter.com/onlyoongi10/status/1754159169358446976
Sun Feb 04 15:05:09 +0000 2024;1754159161011810577;"Selalu merinding kalo denger Padamu Negeri, pemilu taun ini bener memang sebuah pertaruhan representasi masyarakat Indonesia pada umumnya, semoga yang paling banyak baiknya yang menang https://t.co/rwJbsct5sP";0;0;0;0;in;1042743599853580288;1754159161011810577;bukanyaspip;https://twitter.com/bukanyaspip/status/1754159161011810577
Sun Feb 04 15:05:07 +0000 2024;1754159154368057554;"TAR ABIS PEMILU BANYAKIN BIKIN LAGU PERJUANGAN KEK JAMAN DULU YA JANGAN YANG MENYE MENYE KAYA LAGU NADIF YG DIPUTER EL SERIBU KALI TIAP PAGI.";0;1;0;2;in;1520123032445997061;1754159154368057554;2ndbebytokyo;https://twitter.com/2ndbebytokyo/status/1754159154368057554
Sun Feb 04 15:05:07 +0000 2024;1754159152883257438;"Minta maaf gak cuman pas lebaran apalagi mau menjelang pemilu.";0;0;0;0;in;94738995;1754159152883257438;hafidsuherlan;https://twitter.com/hafidsuherlan/status/1754159152883257438
Sun Feb 04 15:05:05 +0000 2024;1754159144087719998;"Sisanya tinggal "Tugas" KPU semakin Keras juga nih persiapan (Jujur) Pemilu 2024 yak pak omon ya ?  #AniesFinalStage #AForEvery1 ABAH ANIES ROCKS DEBAT CAPRES";0;0;0;1;in;1458772074177064964;1754159144087719998;olil_jabo;https://twitter.com/olil_jabo/status/1754159144087719998
Sun Feb 04 15:05:01 +0000 2024;1754159127893512691;"@XDoradong Ya gw dari kapan tau pemilu sdh pilih PKS dari daerah propensi dan pusat 👍🙏🏻 kader 2 nya istiqomah tak mengejar duniawi şemaya ,konsen ke arah keadilan dan kesejahteraan🙏🏻☝🏻";0;0;0;0;in;2885237735;1753936118553411909;alboy_aboe;https://twitter.com/alboy_aboe/status/1754159127893512691
Sun Feb 04 15:05:01 +0000 2024;1754159127197274170;"Siapa yg pernah membayangkan jadinya seperti ini saat pemilu 2014 dan 2019? 🤯";0;0;0;0;in;1378874700521033732;1754159127197274170;merseysideliv;https://twitter.com/merseysideliv/status/1754159127197274170
Sun Feb 04 15:04:51 +0000 2024;1754159086227386848;"Manuver jikiwi memepersulit keputusan memilih di pemilu 2024. Meskipun kasar dan agak licik tapi jokowi sbg politikus menurut saya cerdas dan wanian.";0;0;0;0;in;82540047;1754159086227386848;mfikrijanuar;https://twitter.com/mfikrijanuar/status/1754159086227386848
Sun Feb 04 15:04:50 +0000 2024;1754159081949196466;"debat terakhir di tutup dengan tidak berantam, okelah mungkin biar ga chaos pas pemilu";0;0;0;0;in;1131926110470516736;1754159081949196466;keinderrjoy;https://twitter.com/keinderrjoy/status/1754159081949196466
Sun Feb 04 15:04:50 +0000 2024;1754159080904790097;"kontestasi pemilu hanya sementara, saudara dan sahabat sebangsa setanah air selamanya. Indonesia butuh anda berkolaborasi menuju masa depan yang lebih baik, kami generasi muda mendoakan, membantu, dan kelak berperan aktif, karena saya, kami adalah bagian dari masa depan itu";0;0;0;0;in;1436558182961188869;1754158376907649458;farrrellllll;https://twitter.com/farrrellllll/status/1754159080904790097
Sun Feb 04 15:04:34 +0000 2024;1754159016497078356;"Polda Maluku kawal pengiriman logistik Pemilu Tambahan ke 4 kabupaten https://t.co/WcT8pUR0bz";0;0;1;1;in;18071520;1754159016497078356;antaranews;https://twitter.com/antaranews/status/1754159016497078356
Sun Feb 04 15:04:31 +0000 2024;1754159001351442733;"@AndiJr1422901 @G4b0nGOKU Njirrr... Akun robot sok tau. Cuma satu yang ingin aku lihat di pemilu 2024. Banteng jd partai gurem....";0;0;0;0;in;1715480995301101568;1753441512787210748;alden93050;https://twitter.com/alden93050/status/1754159001351442733
Sun Feb 04 15:04:29 +0000 2024;1754158993013125569;"#debatcapres2024 #AniesFinalStage #WaktunyaPrabowoGibran  buat kaum salafiyyin.  Pemilu dalam Pandangan Syariat Islam https://t.co/nH1swPPuTU";0;0;0;0;in;1725142578994257920;1754158993013125569;Netiz98;https://twitter.com/Netiz98/status/1754158993013125569
Sun Feb 04 15:04:23 +0000 2024;1754158970787574267;"@dodosoo15 Ini bener😭 rasanya pemilu tuh ngga terlalu berdampak untuk aku secara individu yang penting ada bansos😭🙏, mungkin ini juga berarti aku berpriviliged, tapii pas sembari ngikut pak Anies rasanya Indonesia tuh jadi tau banyak masyarakat yang kesejahteraan keberlangsungan hidupnya";0;1;0;0;in;1122103727815446529;1753802004365967739;vaoilaaz;https://twitter.com/vaoilaaz/status/1754158970787574267
Sun Feb 04 15:04:23 +0000 2024;1754158970200363478;"@risenapes Nice kata katane wes metu, kebijakan publik ngaruhe yo ra gede. Intine pemilu ra penting";1;1;0;0;in;230981780;1753976052635074720;lanangmgn;https://twitter.com/lanangmgn/status/1754158970200363478
Sun Feb 04 15:04:22 +0000 2024;1754158966068953445;"debat capres terakhir main aman saling meng iyakan, untuk menghindari blunder dan baiknya tidak ada saling menyerang personal capres. d ttup dengan closing statment yg sangat negarawan untuk mendinginkan suasana d bawah,  yg saling serang menjelang pencoblosan ,smga pemilu damai";0;0;0;0;in;1552449386114088960;1754158966068953445;semua_sayaa;https://twitter.com/semua_sayaa/status/1754158966068953445
Sun Feb 04 15:04:22 +0000 2024;1754158964458344618;"@erichbudiy61017 @ferrykoto @prabowo @gibran_tweet Ha ha ha .. Terus survey itu fakta apa analisa yg bisa dikatakan berandai andai juga bro .. Tapi kalo kamu hidup dg modal percaya survey ,itu hak mu kawan.   Logika masa survey tinggi Bagi Bansos saat Pemilu meningkat ??? Masa Yg Mulya sampai mau Kampanye dukung 02 ??? Mikir !!!";0;0;0;0;in;1613660587883646977;1754009363369562237;DarneNyoman;https://twitter.com/DarneNyoman/status/1754158964458344618
